param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,Mean CV MAE,Std CV MAE,Mean Train MAE,rank_test_score
8,10,10,1008449.0582914762,68429.85290635448,837875.1077333891,368
8,10,15,1008449.0582914762,68429.85290635448,837875.1077333891,368
9,15,10,1009322.1069558894,84047.01913185167,900817.9812218419,375
9,15,15,1009322.1069558894,84047.01913185167,900817.9812218419,375
9,15,5,1009322.1069558894,84047.01913185167,900817.9812218419,375
9,15,8,1009322.1069558894,84047.01913185167,900817.9812218419,375
9,15,4,1009322.1069558894,84047.01913185167,900817.9812218419,375
9,15,20,1009322.1069558894,84047.01913185167,900817.9812218419,375
9,15,2,1009322.1069558894,84047.01913185167,900817.9812218419,375
7,1,20,1011302.492624308,73929.76503218664,803824.0762711534,382
7,3,20,1013296.738304769,69948.65838441637,817505.2815114509,383
7,2,20,1016549.7944075282,72059.5586874183,811156.6926600083,384
6,3,15,1017750.2609104924,59520.17035536077,854181.746611064,385
6,2,15,1019312.471699119,57960.09789574703,847070.5715561723,386
6,5,2,1022314.5502850146,66377.7390743155,841654.6220880762,387
6,5,5,1022314.5502850146,66377.7390743155,841654.6220880762,387
6,5,10,1022314.5502850146,66377.7390743155,841654.6220880762,387
6,5,4,1022314.5502850146,66377.7390743155,841654.6220880762,387
6,5,8,1022314.5502850146,66377.7390743155,841654.6220880762,387
8,15,10,1022687.748849251,74151.28672976597,912298.8340807274,392
8,15,15,1022687.748849251,74151.28672976597,912298.8340807274,392
8,15,4,1022687.748849251,74151.28672976597,912298.8340807274,392
8,15,8,1022687.748849251,74151.28672976597,912298.8340807274,392
8,15,2,1022687.748849251,74151.28672976597,912298.8340807274,392
8,15,5,1022687.748849251,74151.28672976597,912298.8340807274,392
8,15,20,1022687.748849251,74151.28672976597,912298.8340807274,392
7,8,20,1035070.6314727787,59137.08610211958,866192.5345022822,399
6,1,15,1039693.3834698942,45157.639390692224,848846.3908187104,400
6,5,15,1039758.1805683726,47342.25944588987,873448.3524569923,401
7,5,20,1044729.0274691485,63819.9985881395,842723.2739273671,402
7,10,5,1046081.2198775917,57223.77715113825,892121.8977599752,403
7,10,8,1046081.2198775917,57223.77715113825,892121.8977599752,403
7,10,4,1046081.2198775917,57223.77715113825,892121.8977599752,403
7,10,2,1046081.2198775917,57223.77715113825,892121.8977599752,403
7,10,10,1046081.2198775917,57223.77715113825,892121.8977599752,403
7,10,15,1046081.2198775917,57223.77715113825,892121.8977599752,403
7,10,20,1046081.2198775917,57223.77715113825,892121.8977599752,403
7,15,5,1052504.3246728797,63028.09065895011,951397.2385844371,410
7,15,10,1052504.3246728797,63028.09065895011,951397.2385844371,410
7,15,8,1052504.3246728797,63028.09065895011,951397.2385844371,410
7,15,4,1052504.3246728797,63028.09065895011,951397.2385844371,410
7,15,15,1052504.3246728797,63028.09065895011,951397.2385844371,410
7,15,20,1052504.3246728797,63028.09065895011,951397.2385844371,410
7,15,2,1052504.3246728797,63028.09065895011,951397.2385844371,410
6,8,15,1053931.1213399263,32236.240466146148,909531.2865661287,417
6,8,10,1053931.1213399263,32236.240466146148,909531.2865661287,417
6,8,8,1053931.1213399263,32236.240466146148,909531.2865661287,417
6,8,5,1053931.1213399263,32236.240466146148,909531.2865661287,417
6,8,4,1053931.1213399263,32236.240466146148,909531.2865661287,417
6,8,2,1053931.1213399263,32236.240466146148,909531.2865661287,417
10,20,10,1062129.077551998,70842.9954520986,978545.8893454082,423
10,20,4,1062129.077551998,70842.9954520986,978545.8893454082,423
10,20,5,1062129.077551998,70842.9954520986,978545.8893454082,423
10,20,15,1062129.077551998,70842.9954520986,978545.8893454082,423
10,20,2,1062129.077551998,70842.9954520986,978545.8893454082,423
10,20,8,1062129.077551998,70842.9954520986,978545.8893454082,423
